category,club,description,image_url,source_url
Announcements,DIGIT SQUAD,,https://vit.ac.in/wp-content/uploads/2023/09/Blockchain-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,The AI & ML Club,,https://vit.ac.in/wp-content/uploads/2023/09/TAM-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Astronomy Club,,https://vit.ac.in/wp-content/uploads/2023/09/TAM-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Zero Waste Mangement,,https://vit.ac.in/wp-content/uploads/2023/09/TAM-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Linux User's Group,,https://vit.ac.in/wp-content/uploads/2023/09/TAM-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Gurutva- The Physics,,https://vit.ac.in/wp-content/uploads/2023/09/zGURUTVA-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Developers Student,,https://vit.ac.in/wp-content/uploads/2023/09/zGURUTVA-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,CSED,,https://vit.ac.in/wp-content/uploads/2023/09/zGURUTVA-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,CodeChef,,https://vit.ac.in/wp-content/uploads/2023/09/zGURUTVA-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Creation lab,,https://vit.ac.in/wp-content/uploads/2023/09/clabslogo-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Dream Merchants,,https://vit.ac.in/wp-content/uploads/2023/09/clabslogo-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,E2PC,,https://vit.ac.in/wp-content/uploads/2023/09/clabslogo-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,E-Cell,,https://vit.ac.in/wp-content/uploads/2023/09/clabslogo-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Innovators Quest,,https://vit.ac.in/wp-content/uploads/2023/09/Iquest-square-logo-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Internet of Things Club,,https://vit.ac.in/wp-content/uploads/2023/09/Iquest-square-logo-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Mozilla Club,,https://vit.ac.in/wp-content/uploads/2023/09/Iquest-square-logo-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,RoboVITics,,https://vit.ac.in/wp-content/uploads/2023/09/Iquest-square-logo-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Solai Club,,https://vit.ac.in/wp-content/uploads/2023/09/SOLAI-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,SABEST,,https://vit.ac.in/wp-content/uploads/2023/09/SOLAI-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Technology and Gaming,,https://vit.ac.in/wp-content/uploads/2023/09/SOLAI-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,The Catalyst Club,,https://vit.ac.in/wp-content/uploads/2023/09/SOLAI-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,The Electronics Club,,https://vit.ac.in/wp-content/uploads/2023/09/zTEC-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Visual Blogger’s Club,,https://vit.ac.in/wp-content/uploads/2023/09/zTEC-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,VIT Amateur Radio Club,,https://vit.ac.in/wp-content/uploads/2023/09/zTEC-copy.webp,https://vit.ac.in/campus/clubs/technical
Announcements,Vriksh,,https://vit.ac.in/wp-content/uploads/2023/09/Vriksh-Logo-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Anokha,,https://vit.ac.in/wp-content/uploads/2023/09/Vriksh-Logo-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Ayuda,,https://vit.ac.in/wp-content/uploads/2023/09/Vriksh-Logo-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Becoming I Foundation,,https://vit.ac.in/wp-content/uploads/2023/09/Vriksh-Logo-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,FEPSI,,https://vit.ac.in/wp-content/uploads/2023/09/FEPSI-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,5th Pillar,,https://vit.ac.in/wp-content/uploads/2023/09/FEPSI-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Juvenile Care,,https://vit.ac.in/wp-content/uploads/2023/09/FEPSI-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Leo Club,,https://vit.ac.in/wp-content/uploads/2023/09/FEPSI-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,National Cadet Corps,,https://vit.ac.in/wp-content/uploads/2023/09/NCC-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,NSS,,https://vit.ac.in/wp-content/uploads/2023/09/NCC-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Nature Lover's Club,,https://vit.ac.in/wp-content/uploads/2023/09/NCC-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Rotaract club,,https://vit.ac.in/wp-content/uploads/2023/09/NCC-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Red Ribbon clubs,,https://vit.ac.in/wp-content/uploads/2023/09/RRC-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Uddeshya,,https://vit.ac.in/wp-content/uploads/2023/09/RRC-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,HEARTS,,https://vit.ac.in/wp-content/uploads/2023/09/RRC-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Youth Red Cross Society,,https://vit.ac.in/wp-content/uploads/2023/09/RRC-copy.webp,https://vit.ac.in/campus/clubs/social%2520outreach
Announcements,Sports club,,https://vit.ac.in/wp-content/uploads/2023/09/sport-club-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,SoS Club,,https://vit.ac.in/wp-content/uploads/2023/09/sport-club-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Skating club,,https://vit.ac.in/wp-content/uploads/2023/09/sport-club-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Nutrition Club,,https://vit.ac.in/wp-content/uploads/2023/09/sport-club-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Cubing Club,,https://vit.ac.in/wp-content/uploads/2023/09/CUBE-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Board Gamers Club,,https://vit.ac.in/wp-content/uploads/2023/09/CUBE-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Cycling club,,https://vit.ac.in/wp-content/uploads/2023/09/CUBE-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Culinary Club,,https://vit.ac.in/wp-content/uploads/2023/09/CUBE-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Fitness n Beyond,,https://vit.ac.in/wp-content/uploads/2023/09/FNB-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Health club,,https://vit.ac.in/wp-content/uploads/2023/09/FNB-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Trekking Club,,https://vit.ac.in/wp-content/uploads/2023/09/FNB-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
Announcements,Yoga club,,https://vit.ac.in/wp-content/uploads/2023/09/FNB-copy.webp,https://vit.ac.in/campus/clubs/healthwellness
